Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
University of Central Florida,2008,11227055,37,3.702702703,
University of Central Florida,2007,11155107,30,3.4,
University of Central Florida,2006,6781518,23,3.347826087,
University of Central Florida,2005,5311806,20,3.55,
University of Central Florida,2004,5533191,24,3.458333333,
University of Central Florida,2003,5637728,22,3.272727273,
University of Central Florida,2002,3974577,25,2.76,
University of Central Florida,2001,8154009,21,3.523809524,
University of Central Missouri,2004,203565,2,4,
University of Central Missouri,2001,161069,2,1.5,
University of Central Oklahoma,2010,673898,2,3.5,
University of Central Oklahoma,2009,2368294,3,3.666666667,
University of Central Oklahoma,2004,2049050,2,3,
University of Central Oklahoma,2001,869267,2,2.5,
University of Chicago,2012,21736175,67,2.656716418,
University of Chicago,2011,25892449,53,2.943396226,
University of Chicago,2010,58461664,56,3,
University of Chicago,2009,37915489,87,2.91954023,
University of Chicago,2008,37258528,54,3.259259259,
University of Chicago,2007,39588819,61,3.672131148,
University of Chicago,2006,45121282,42,3.595238095,
University of Chicago,2005,106740772,65,3.723076923,
University of Chicago,2004,13891362,47,3.14893617,
University of Chicago,2003,22884271,61,3.196721311,
University of Chicago,2002,60115300,49,3.489795918,
University of Chicago,2001,40225994,49,3.12244898,
University of Cincinnati Main Campus,2012,7176538,28,2.642857143,
University of Cincinnati Main Campus,2011,11280121,23,2.52173913,
University of Cincinnati Main Campus,2010,8161668,26,3.038461538,
University of Cincinnati Main Campus,2009,7962727,30,3.1,
University of Cincinnati Main Campus,2008,9256975,22,3.772727273,
University of Cincinnati Main Campus,2007,7697957,32,3.21875,
University of Cincinnati Main Campus,2006,9522061,28,3.678571429,
University of Cincinnati Main Campus,2005,5695545,27,3.222222222,
University of Cincinnati Main Campus,2004,4208796,16,3.5,
University of Cincinnati Main Campus,2003,10792358,30,3.533333333,
University of Cincinnati Main Campus,2002,8132980,27,3.111111111,
University of Cincinnati Main Campus,2001,4879308,19,3.368421053,
University of Colorado at Boulder,2012,59497755,136,2.838235294,
University of Colorado at Boulder,2011,46238555,124,2.967741935,
University of Colorado at Boulder,2010,53299104,130,3,
University of Colorado at Boulder,2009,68595046,168,3.30952381,
University of Colorado at Boulder,2008,48757111,96,3.354166667,
University of Colorado at Boulder,2007,52315913,128,3.7265625,
University of Colorado at Boulder,2006,49588835,103,3.514563107,
University of Colorado at Boulder,2005,34556546,110,3.718181818,
University of Colorado at Boulder,2004,50335427,111,3.621621622,
University of Colorado at Boulder,2003,40425226,116,3.517241379,
University of Colorado at Boulder,2002,37353066,116,3.362068966,
University of Colorado at Boulder,2001,55000628,97,3.422680412,
University of Colorado at Colorado Springs,2012,1487505,8,2.125,
University of Colorado at Colorado Springs,2011,486289,4,2,
University of Colorado at Colorado Springs,2010,1460142,7,2.428571429,
University of Colorado at Colorado Springs,2009,1370168,4,3.25,
University of Colorado at Colorado Springs,2008,766183,4,2.75,
University of Colorado at Colorado Springs,2007,515489,4,4,
University of Colorado at Colorado Springs,2006,947498,3,4,
University of Colorado at Colorado Springs,2005,354770,4,1.75,
University of Colorado at Colorado Springs,2004,865276,6,2.833333333,
University of Colorado at Colorado Springs,2003,1368642,5,4.4,
University of Colorado at Colorado Springs,2001,357302,2,2.5,
University of Colorado at Denver,2012,1592972,4,2.75,
University of Colorado at Denver,2011,2085555,7,3.285714286,
University of Colorado at Denver,2010,2156040,8,2.625,
University of Colorado at Denver,2009,912651,2,4,
University of Colorado at Denver,2008,5098327,6,3.833333333,
University of Colorado at Denver,2007,4594900,8,2.875,
University of Colorado at Denver,2006,1099176,4,4.75,
University of Colorado at Denver,2005,313710,3,3.333333333,
University of Colorado at Denver,2004,14380947,7,4,
University of Colorado at Denver,2003,1464091,8,2.875,
University of Colorado at Denver,2002,944155,6,2.666666667,
University of Colorado at Denver,2001,381001,2,3,
University of Colorado at Denver and Health Sciences Center,2012,623604,3,3.666666667,
University of Colorado at Denver and Health Sciences Center,2010,1297892,4,2.5,
University of Colorado at Denver and Health Sciences Center,2008,1117421,5,2.4,
University of Colorado at Denver and Health Sciences Center,2007,635132,3,2.666666667,
University of Colorado at Denver and Health Sciences Center,2005,1006703,4,2.75,
University of Colorado at Denver and Health Sciences Center,2004,904936,2,4.5,
University of Colorado at Denver and Health Sciences Center,2003,999637,3,3.333333333,
University of Colorado at Denver and Health Sciences Center,2002,946871,3,3,
University of Colorado at Denver and Health Sciences Center,2001,1152073,5,3.2,
University of Connecticut,2012,12051427,42,2.619047619,
University of Connecticut,2011,16069237,51,2.960784314,
University of Connecticut,2010,17472690,52,3.115384615,
University of Connecticut,2009,25524843,66,3.651515152,
University of Connecticut,2008,15918179,55,3.527272727,
University of Connecticut,2007,19383570,61,3.672131148,
University of Connecticut,2006,11870099,43,3.720930233,
University of Connecticut,2005,11109154,37,3.918918919,
University of Connecticut,2004,10547994,40,3.45,
University of Connecticut,2003,12125580,41,3.829268293,
University of Connecticut,2002,8098750,35,3.114285714,
University of Connecticut,2001,14140474,47,3.680851064,
University of Connecticut Health Center,2009,2076447,5,2.8,
University of Connecticut Health Center,2006,783357,3,2,
University of Connecticut Health Center,2004,911859,2,4,
University of Connecticut Health Center,2003,502413,2,2.5,
University of Connecticut Health Center,2002,377355,2,1.5,
University of Connecticut Health Center,2001,912365,3,4,
University of Dayton,2012,583830,4,1.75,
University of Dayton,2010,711620,2,3.5,
University of Dayton,2009,992516,3,3.666666667,
University of Dayton,2008,422201,2,2,
University of Dayton,2006,2137543,5,2.8,
University of Dayton,2004,390305,3,2.666666667,
University of Dayton,2003,299817,3,2.666666667,
University of Dayton,2002,1361418,4,2.75,
University of Dayton,2001,628929,3,3,
University of Delaware,2012,17893514,63,2.857142857,
University of Delaware,2011,16010533,58,2.75862069,
University of Delaware,2010,23323833,66,2.742424242,
University of Delaware,2009,33668179,71,3.197183099,
University of Delaware,2008,29913711,59,3.508474576,
University of Delaware,2007,21057339,57,3.526315789,
University of Delaware,2006,24625540,38,4,
University of Delaware,2005,26015693,51,3.823529412,
University of Delaware,2004,11992051,42,3.428571429,
University of Delaware,2003,21476372,51,3.490196078,
University of Delaware,2002,21339917,45,3.444444444,
University of Delaware,2001,11847259,42,3.571428571,
University of Denver,2012,6657482,10,2.6,
University of Denver,2011,1954370,9,2.777777778,
University of Denver,2010,1624403,9,2.666666667,
University of Denver,2009,2890782,9,3.111111111,
University of Denver,2008,2282967,12,2.666666667,
University of Denver,2007,910077,4,3.25,
University of Denver,2006,2189742,6,3.666666667,
University of Denver,2005,1635047,6,3.666666667,
University of Denver,2004,730998,4,3.25,
University of Denver,2003,1513349,5,3,
University of Denver,2002,1148400,6,2.666666667,
University of Denver,2001,546996,4,3,
University of Detroit Mercy,2010,728989,2,3.5,
University of Detroit Mercy,2003,274139,2,2.5,
University of Detroit Mercy,2001,464179,2,3.5,
University of Florida,2012,24894152,92,2.760869565,
University of Florida,2011,27347721,84,2.821428571,
University of Florida,2010,33841171,89,2.988764045,
University of Florida,2009,38198830,118,3.262711864,
University of Florida,2008,30533752,96,3.375,
University of Florida,2007,34028249,108,3.527777778,
University of Florida,2006,24151009,86,3.406976744,
University of Florida,2005,35659207,78,3.705128205,
University of Florida,2004,26159133,89,3.685393258,
University of Florida,2003,35401961,85,3.423529412,
University of Florida,2002,25532939,73,3.219178082,
University of Florida,2001,38539609,78,3.435897436,
University of Georgia,2010,818374,2,2.5,
University of Georgia,2008,483062,3,3.333333333,
University of Georgia,2005,181990,4,2.25,
University of Georgia,2003,1900582,2,4,
University of Georgia Research Foundation Inc,2012,11154730,45,3.044444444,
University of Georgia Research Foundation Inc,2011,12874396,43,2.790697674,
University of Georgia Research Foundation Inc,2010,30810737,71,2.901408451,
University of Georgia Research Foundation Inc,2009,14071899,50,3.26,
University of Georgia Research Foundation Inc,2008,21397003,37,3.378378378,
University of Georgia Research Foundation Inc,2007,17473666,46,3.760869565,
University of Georgia Research Foundation Inc,2006,18883712,31,3.709677419,
University of Georgia Research Foundation Inc,2005,12340212,24,3.666666667,
University of Georgia Research Foundation Inc,2004,22835128,49,3.673469388,
University of Georgia Research Foundation Inc,2003,19010806,46,3.826086957,
University of Georgia Research Foundation Inc,2002,32593486,44,3.75,
University of Georgia Research Foundation Inc,2001,21027175,36,4.277777778,
University of Guam,2012,292704,2,1,
University of Guam,2011,386408,3,3,
University of Hawaii,2012,17573993,45,2.555555556,
University of Hawaii,2011,14843137,59,2.847457627,
University of Hawaii,2010,42913190,78,2.820512821,
University of Hawaii,2009,62394117,85,3.305882353,
University of Hawaii,2008,18687210,56,3.678571429,
University of Hawaii,2007,19126181,65,3.615384615,
University of Hawaii,2006,58435778,71,3.633802817,
University of Hawaii,2005,62965820,74,3.743243243,
University of Hawaii,2004,22692435,55,4.054545455,
University of Hawaii,2003,35844162,57,3.578947368,
University of Hawaii,2002,31008844,56,3.375,
University of Hawaii,2001,19601323,58,3.827586207,
University of Hawaii at Hilo,2011,1252167,3,4.666666667,
University of Hawaii at Hilo,2010,1904174,3,4.333333333,
University of Hawaii at Hilo,2009,5330561,4,3,
University of Hawaii at Hilo,2007,479518,2,3.5,
University of Hawaii at Hilo,2006,4251870,5,3.6,
University of Hawaii at Hilo,2005,359262,2,3.5,
University of Hawaii at Hilo,2003,347569,2,3.5,
University of Hawaii at Hilo,2002,4049212,7,3.857142857,
University of Hawaii at Hilo,2001,317599,2,2.5,
University of Houston,2012,9541908,41,3.024390244,
University of Houston,2011,7266897,41,2.463414634,
University of Houston,2010,12151138,42,2.642857143,
University of Houston,2009,21297706,48,3.5,
University of Houston,2008,11052577,40,3.35,
University of Houston,2007,10268447,37,3.351351351,
University of Houston,2006,6277071,28,3.142857143,
University of Houston,2005,5330774,22,3.090909091,
University of Houston,2004,14018420,32,3.75,
University of Houston,2003,8722506,28,3.678571429,
University of Houston,2002,3752065,17,3.470588235,
University of Houston,2001,3340084,16,3.0625,
University of Houston - Clear Lake,2011,803660,2,3.5,
University of Houston - Clear Lake,2010,280527,3,1.666666667,
University of Houston - Clear Lake,2009,278815,2,3.5,
University of Houston - Clear Lake,2006,529069,2,3,
University of Houston - Clear Lake,2002,472679,2,4,
University of Houston - Downtown,2009,966604,2,4,
University of Houston - Downtown,2008,286143,3,4.333333333,
University of Houston - Downtown,2007,2305659,5,4.2,
University of Houston - Downtown,2006,957173,2,5,
University of Houston - Downtown,2003,2415428,3,4.666666667,
University of Idaho,2012,5636740,15,2.6,
University of Idaho,2011,1952447,7,2.285714286,
University of Idaho,2010,6159148,14,3.285714286,
University of Idaho,2009,9938238,16,3.6875,
University of Idaho,2008,15964486,13,3.615384615,
University of Idaho,2007,2162260,13,3.153846154,
University of Idaho,2006,6017666,12,3.666666667,
University of Idaho,2005,11281973,10,3,
University of Idaho,2004,1325171,10,3.1,
University of Idaho,2003,3897950,14,3.642857143,
University of Idaho,2002,12941803,18,3.333333333,
University of Idaho,2001,8248713,15,4.066666667,
University of Illinois at Chicago,2012,8776301,37,3.027027027,
University of Illinois at Chicago,2011,11351955,45,2.511111111,
University of Illinois at Chicago,2010,17000976,46,3,
University of Illinois at Chicago,2009,34259935,61,3.31147541,
University of Illinois at Chicago,2008,14082042,45,3.644444444,
University of Illinois at Chicago,2007,17727180,53,3.528301887,
University of Illinois at Chicago,2006,16717991,48,3.4375,
University of Illinois at Chicago,2005,16448733,37,3.648648649,
University of Illinois at Chicago,2004,17396715,44,3.386363636,
University of Illinois at Chicago,2003,15967624,49,3.591836735,
University of Illinois at Chicago,2002,19121907,61,3.442622951,
University of Illinois at Chicago,2001,14464275,57,3.245614035,
University of Illinois at Springfield,2011,280723,3,2.333333333,
University of Illinois at Springfield,2006,290978,2,3.5,
University of Illinois at Urbana-Champaign,2012,43536459,153,2.790849673,
University of Illinois at Urbana-Champaign,2011,83649222,123,3.146341463,
University of Illinois at Urbana-Champaign,2010,85133783,201,3.019900498,
University of Illinois at Urbana-Champaign,2009,95014859,196,3.285714286,
University of Illinois at Urbana-Champaign,2008,73501309,171,3.426900585,
University of Illinois at Urbana-Champaign,2007,156633983,168,3.648809524,
University of Illinois at Urbana-Champaign,2006,56581016,137,3.445255474,
University of Illinois at Urbana-Champaign,2005,151365176,139,3.64028777,
University of Illinois at Urbana-Champaign,2004,56065299,135,3.592592593,
University of Illinois at Urbana-Champaign,2003,71198934,145,3.6,
University of Illinois at Urbana-Champaign,2002,88846350,146,3.705479452,
University of Illinois at Urbana-Champaign,2001,124190291,145,3.855172414,
University of Iowa,2012,9857231,38,2.710526316,
University of Iowa,2011,9648511,31,3.129032258,
University of Iowa,2010,9677311,34,2.735294118,
University of Iowa,2009,11662486,45,2.844444444,
University of Iowa,2008,9396653,43,3.093023256,
University of Iowa,2007,8568510,34,3.176470588,
University of Iowa,2006,10252653,30,3.366666667,
University of Iowa,2005,13458580,36,3.305555556,
University of Iowa,2004,11373953,38,3.921052632,
University of Iowa,2003,7974997,34,3.647058824,
University of Iowa,2002,14276200,37,3.972972973,
University of Iowa,2001,11611632,49,3.326530612,
University of Kansas Center for Research Inc,2012,12417722,41,2.780487805,
University of Kansas Center for Research Inc,2011,8995594,44,2.795454545,
University of Kansas Center for Research Inc,2010,21296093,39,3.076923077,
University of Kansas Center for Research Inc,2009,24599964,35,3.2,
University of Kansas Center for Research Inc,2008,17086375,45,3.533333333,
University of Kansas Center for Research Inc,2007,13474036,38,3.657894737,
University of Kansas Center for Research Inc,2006,14474941,30,3.666666667,
University of Kansas Center for Research Inc,2005,39487859,35,3.914285714,
University of Kansas Center for Research Inc,2004,13864118,38,4.184210526,
University of Kansas Center for Research Inc,2003,33928358,40,3.5,
University of Kansas Center for Research Inc,2002,10440471,28,3.535714286,
University of Kansas Center for Research Inc,2001,15722277,35,3.4,
University of Kansas Medical Center,2003,547597,2,3.5,
University of Kentucky,2001,264532,2,3.5,
University of Kentucky Research Foundation,2012,9465013,35,2.657142857,
University of Kentucky Research Foundation,2011,7169353,29,2.655172414,
University of Kentucky Research Foundation,2010,9420233,31,2.741935484,
University of Kentucky Research Foundation,2009,18220691,44,3.159090909,
University of Kentucky Research Foundation,2008,22462338,34,3.794117647,
University of Kentucky Research Foundation,2007,10477266,31,3.516129032,
University of Kentucky Research Foundation,2006,14870441,32,3.5,
University of Kentucky Research Foundation,2005,21891739,37,3.513513514,
University of Kentucky Research Foundation,2004,11525378,34,3.617647059,
University of Kentucky Research Foundation,2003,12304614,39,3.58974359,
University of Kentucky Research Foundation,2002,47020835,39,4.102564103,
University of Kentucky Research Foundation,2001,12523914,45,3.533333333,
University of Louisiana at Lafayette,2012,2000086,3,4,
University of Louisiana at Lafayette,2011,1650540,6,2.666666667,
University of Louisiana at Lafayette,2010,1669173,6,2.333333333,
University of Louisiana at Lafayette,2009,2475314,8,3.5,
University of Louisiana at Lafayette,2008,2300675,9,3.444444444,
University of Louisiana at Lafayette,2007,279997,2,3.5,
University of Louisiana at Lafayette,2006,1659444,8,3,
University of Louisiana at Lafayette,2005,1917412,7,4.285714286,
University of Louisiana at Lafayette,2004,714832,2,6.5,
University of Louisiana at Lafayette,2003,1456986,3,4.666666667,
University of Louisiana at Lafayette,2002,281935,3,3.333333333,
University of Louisiana at Lafayette,2001,608000,2,4.5,
University of Louisville Research Foundation Inc,2012,3485694,14,3.142857143,
University of Louisville Research Foundation Inc,2011,4491184,10,2.9,
University of Louisville Research Foundation Inc,2010,2170069,5,3.4,
University of Louisville Research Foundation Inc,2009,3384714,9,3.333333333,
University of Louisville Research Foundation Inc,2008,4997928,8,3.25,
University of Louisville Research Foundation Inc,2007,3876705,11,3.454545455,
University of Louisville Research Foundation Inc,2006,1514295,8,2.625,
University of Louisville Research Foundation Inc,2005,4606178,11,3.090909091,
University of Louisville Research Foundation Inc,2004,5871868,14,4.285714286,
University of Louisville Research Foundation Inc,2003,1206192,7,3,
University of Louisville Research Foundation Inc,2002,2855759,11,3.454545455,
University of Louisville Research Foundation Inc,2001,1866929,10,2.5,
University of Maine,2012,6407018,17,2.823529412,
University of Maine,2011,4907121,17,2.352941176,
University of Maine,2010,13734505,26,2.923076923,
University of Maine,2009,21439639,27,3.37037037,
University of Maine,2008,7416149,24,3.916666667,
University of Maine,2007,10198862,34,3.352941176,
University of Maine,2006,18168623,23,4,
University of Maine,2005,9157294,24,3.5,
University of Maine,2004,6737758,19,3.947368421,
University of Maine,2003,14392216,27,3.925925926,
University of Maine,2002,13131467,34,3.941176471,
University of Maine,2001,8260746,24,3.541666667,
University of Maine Farmington,2002,193195,2,4,
University of Mary Washington,2011,289507,2,4,
University of Maryland at Baltimore,2012,928911,4,2.75,
University of Maryland at Baltimore,2011,759139,3,2.666666667,
University of Maryland at Baltimore,2010,5135997,8,2.75,
University of Maryland at Baltimore,2009,972774,2,3.5,
University of Maryland at Baltimore,2008,1548865,3,4.333333333,
University of Maryland at Baltimore,2007,840796,3,1.666666667,
University of Maryland at Baltimore,2006,1002529,2,1.5,
University of Maryland at Baltimore,2004,2215100,6,3.333333333,
University of Maryland at Baltimore,2003,1174711,2,5,
University of Maryland at Baltimore,2001,980389,4,2.25,
University of Maryland Baltimore County,2012,7105043,25,2.24,
University of Maryland Baltimore County,2011,7065382,14,3,
University of Maryland Baltimore County,2010,6348031,24,2.541666667,
University of Maryland Baltimore County,2009,8602893,22,2.818181818,
University of Maryland Baltimore County,2008,8065750,22,2.818181818,
University of Maryland Baltimore County,2007,5769859,20,3.15,
University of Maryland Baltimore County,2006,5877822,18,2.944444444,
University of Maryland Baltimore County,2005,26468787,19,3.473684211,
University of Maryland Baltimore County,2004,8619262,19,4.105263158,
University of Maryland Baltimore County,2003,10224794,23,3.391304348,
University of Maryland Baltimore County,2002,8836702,19,3.947368421,
University of Maryland Baltimore County,2001,5700138,20,3.4,
University of Maryland Biotechnology Institute,2009,627949,2,1,
University of Maryland Biotechnology Institute,2008,1357837,5,2.2,
University of Maryland Biotechnology Institute,2007,2710701,3,3.333333333,
University of Maryland Biotechnology Institute,2006,3514764,6,3,
University of Maryland Biotechnology Institute,2005,1567336,6,2.666666667,
University of Maryland Biotechnology Institute,2003,3189701,8,4,
University of Maryland Biotechnology Institute,2002,3041605,6,3.5,
University of Maryland Biotechnology Institute,2001,2513310,7,3.714285714,
University of Maryland Center for Environmental Sciences,2012,1482520,8,2.875,
University of Maryland Center for Environmental Sciences,2011,3616477,6,2.166666667,
University of Maryland Center for Environmental Sciences,2010,6910607,19,2.263157895,
University of Maryland Center for Environmental Sciences,2009,3044944,6,2.833333333,
University of Maryland Center for Environmental Sciences,2008,4126825,10,3.6,
University of Maryland Center for Environmental Sciences,2007,4086569,10,4,
University of Maryland Center for Environmental Sciences,2006,1463431,5,3.8,
University of Maryland Center for Environmental Sciences,2005,3380754,6,3.666666667,
University of Maryland Center for Environmental Sciences,2004,2440170,5,3.4,
University of Maryland Center for Environmental Sciences,2003,1177669,5,2,
University of Maryland Center for Environmental Sciences,2002,2061245,6,4.333333333,
University of Maryland Center for Environmental Sciences,2001,1308396,7,3.142857143,
University of Maryland College Park,2012,29390652,118,2.677966102,
University of Maryland College Park,2011,39560559,116,2.793103448,
University of Maryland College Park,2010,48053986,121,2.892561983,
University of Maryland College Park,2009,62732223,174,3.120689655,
University of Maryland College Park,2008,53289606,112,3.446428571,
University of Maryland College Park,2007,33691464,120,3.166666667,
University of Maryland College Park,2006,37429502,106,3.547169811,
University of Maryland College Park,2005,52724930,92,3.684782609,
University of Maryland College Park,2004,33347164,103,3.475728155,
University of Maryland College Park,2003,47230404,113,3.619469027,
University of Maryland College Park,2002,38760404,108,3.685185185,
University of Maryland College Park,2001,41754456,123,3.422764228,
University of Maryland Eastern Shore,2012,699421,2,2.5,
University of Maryland Eastern Shore,2010,2696311,2,4,
University of Maryland Eastern Shore,2004,2895792,2,5,
University of Massachusetts Amherst,2012,27353302,81,2.790123457,
University of Massachusetts Amherst,2011,22754368,50,2.92,
University of Massachusetts Amherst,2010,24606988,80,2.8,
University of Massachusetts Amherst,2009,38428092,95,3.042105263,
University of Massachusetts Amherst,2008,29226799,67,3.567164179,
University of Massachusetts Amherst,2007,28553891,68,3.382352941,
University of Massachusetts Amherst,2006,44783917,80,3.775,
University of Massachusetts Amherst,2005,35195909,51,3.901960784,
University of Massachusetts Amherst,2004,20345467,60,3.45,
University of Massachusetts Amherst,2003,67030023,60,3.85,
University of Massachusetts Amherst,2002,34296632,69,3.405797101,
University of Massachusetts Amherst,2001,25433681,61,3.426229508,
University of Massachusetts Boston,2012,4723650,12,2.333333333,
University of Massachusetts Boston,2011,3809233,8,2.875,
University of Massachusetts Boston,2010,4288226,11,2.909090909,
University of Massachusetts Boston,2009,4946092,7,3.142857143,
University of Massachusetts Boston,2008,691468,2,4,
University of Massachusetts Boston,2007,6121361,9,3.777777778,
University of Massachusetts Boston,2006,5755328,8,4.25,
University of Massachusetts Boston,2005,1430119,7,2.857142857,
University of Massachusetts Boston,2004,16026920,5,4,
University of Massachusetts Boston,2003,6223790,6,4,
University of Massachusetts Boston,2002,721587,5,2.2,
University of Massachusetts Boston,2001,3124947,12,3.833333333,
University of Massachusetts Lowell,2012,5292527,15,2.666666667,
University of Massachusetts Lowell,2011,3949211,12,2.666666667,
University of Massachusetts Lowell,2010,5961152,22,2.727272727,
University of Massachusetts Lowell,2009,6758043,24,2.875,
University of Massachusetts Lowell,2008,1188825,7,3,
University of Massachusetts Lowell,2007,4170331,10,3.5,
University of Massachusetts Lowell,2006,1123556,7,2.857142857,
University of Massachusetts Lowell,2005,2207878,8,3.25,
University of Massachusetts Lowell,2004,590970,4,2.5,
University of Massachusetts Lowell,2003,1129264,7,3.285714286,
University of Massachusetts Lowell,2002,1683876,8,3.25,
University of Massachusetts Lowell,2001,1518957,7,2.714285714,
University of Massachusetts Lowell Research Foundation,2007,828884,2,3.5,
University of Massachusetts Lowell Research Foundation,2006,2476537,5,4.6,
University of Massachusetts Lowell Research Foundation,2005,542365,3,4,
University of Massachusetts Lowell Research Foundation,2004,438365,3,3.666666667,
University of Massachusetts Lowell Research Foundation,2003,1404464,7,2.857142857,
University of Massachusetts Lowell Research Foundation,2002,308788,5,2,
University of Massachusetts Lowell Research Foundation,2001,664352,3,3.666666667,
University of Massachusetts Medical School,2011,1588070,3,3.333333333,
University of Massachusetts Medical School,2010,226090,2,2,
University of Massachusetts Medical School,2007,979000,2,3.5,
University of Massachusetts Medical School,2005,859117,2,2.5,
University of Massachusetts Medical School,2003,910392,2,3.5,
University of Massachusetts Medical School,2002,833639,3,2,
University of Massachusetts Medical School,2001,688020,3,2.333333333,
"University of Massachusetts, Dartmouth",2012,3382861,13,3.230769231,
"University of Massachusetts, Dartmouth",2011,3570621,12,2.833333333,
"University of Massachusetts, Dartmouth",2010,1100336,9,1.777777778,
"University of Massachusetts, Dartmouth",2009,4177162,10,3.3,
"University of Massachusetts, Dartmouth",2008,4375654,14,3.928571429,
"University of Massachusetts, Dartmouth",2007,842478,4,4.5,
"University of Massachusetts, Dartmouth",2006,2983726,16,3.1875,
"University of Massachusetts, Dartmouth",2005,736114,4,2.75,
"University of Massachusetts, Dartmouth",2004,2958101,10,3.2,
"University of Massachusetts, Dartmouth",2003,2233825,8,3.5,
"University of Massachusetts, Dartmouth",2002,2179919,8,4.125,
"University of Massachusetts, Dartmouth",2001,1174619,7,2.571428571,
University of Medicine and Dentistry of New Jersey/Newark,2012,354534,2,2.5,
University of Medicine and Dentistry of New Jersey/Newark,2008,1033000,2,3.5,
University of Medicine and Dentistry of New Jersey/Newark,2002,711125,2,3,
University of Medicine and Dentistry of New Jersey/Newark,2001,781275,3,2,
University of Memphis,2012,961053,8,2.625,
University of Memphis,2011,1791353,8,2.5,
University of Memphis,2010,3438009,14,2.214285714,
University of Memphis,2009,6532478,15,3.466666667,
University of Memphis,2008,4570204,14,3.142857143,
University of Memphis,2007,3110388,19,3.105263158,
University of Memphis,2006,2366311,10,3.1,
University of Memphis,2005,1022546,6,2.833333333,
University of Memphis,2004,4555275,10,3.7,
University of Memphis,2003,2420397,6,4.166666667,
University of Memphis,2002,4466714,14,2.785714286,
University of Memphis,2001,2281045,11,2.909090909,
University of Miami,2012,1547612,13,2.076923077,
University of Miami,2011,3515649,11,2.727272727,
University of Miami,2010,3790111,12,2.25,
University of Miami,2009,5640320,17,3.294117647,
University of Miami,2008,2976035,13,3.153846154,
University of Miami,2007,5875039,16,3.375,
University of Miami,2006,3205480,13,3.769230769,
University of Miami,2005,2121037,11,2.818181818,
University of Miami,2004,7323910,17,3.117647059,
University of Miami,2003,3960105,16,3.9375,
University of Miami,2002,1157335,7,2.571428571,
University of Miami,2001,1236906,7,3,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2012,7215441,22,2.772727273,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2011,6668449,26,2.5,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2010,5802556,26,2.538461538,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2009,17991352,38,2.815789474,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2008,9227370,22,3.318181818,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2007,8321709,22,3.272727273,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2006,11036592,24,3.916666667,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2005,14812670,28,3.428571429,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2004,12039944,26,3.807692308,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2003,14874566,22,3.272727273,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2002,15161971,28,3.964285714,
University of Miami Rosenstiel School of Marine&Atmospheric Sci,2001,4894241,18,3,
University of Miami School of Medicine,2011,519047,4,2.5,
University of Miami School of Medicine,2010,420418,3,2.333333333,
University of Miami School of Medicine,2007,561940,3,2.333333333,
University of Michigan Ann Arbor,2012,45298208,179,2.737430168,
University of Michigan Ann Arbor,2011,63824709,173,2.953757225,
University of Michigan Ann Arbor,2010,65542209,167,3,
University of Michigan Ann Arbor,2009,96590169,224,3.267857143,
University of Michigan Ann Arbor,2008,60773726,167,3.479041916,
University of Michigan Ann Arbor,2007,66105134,133,3.661654135,
University of Michigan Ann Arbor,2006,53689188,153,3.647058824,
University of Michigan Ann Arbor,2005,65751602,170,3.623529412,
University of Michigan Ann Arbor,2004,52035798,146,3.657534247,
University of Michigan Ann Arbor,2003,59455149,159,3.591194969,
University of Michigan Ann Arbor,2002,48556140,147,3.414965986,
University of Michigan Ann Arbor,2001,86478096,134,3.567164179,
University of Minnesota Duluth,2012,2726022,11,3.090909091,
University of Minnesota Duluth,2011,1500103,7,2.142857143,
University of Minnesota Duluth,2010,3159584,13,2.692307692,
University of Minnesota Duluth,2009,4747610,21,2.80952381,
University of Minnesota Duluth,2008,3494035,12,2.75,
University of Minnesota Duluth,2007,5282897,8,3.625,
University of Minnesota Duluth,2006,1233930,6,3.666666667,
University of Minnesota Duluth,2005,3537244,12,3,
University of Minnesota Duluth,2004,1496216,7,2.857142857,
University of Minnesota Morris,2010,459907,2,4,
University of Minnesota Morris,2007,594965,2,4,
University of Minnesota Morris,2006,241336,2,3,
University of Minnesota-Twin Cities,2012,43361362,140,2.892857143,
University of Minnesota-Twin Cities,2011,39410751,112,2.857142857,
University of Minnesota-Twin Cities,2010,66735117,133,2.954887218,
University of Minnesota-Twin Cities,2009,64432895,147,3.210884354,
University of Minnesota-Twin Cities,2008,44479790,111,3.594594595,
University of Minnesota-Twin Cities,2007,48747060,123,3.861788618,
University of Minnesota-Twin Cities,2006,66707011,107,3.813084112,
University of Minnesota-Twin Cities,2005,50815706,91,3.956043956,
University of Minnesota-Twin Cities,2004,37843651,105,3.542857143,
University of Minnesota-Twin Cities,2003,56044430,136,3.705882353,
